actividad_id,nombre,categorias,descripcion_breve,latitud,longitud,direccion,calificaciones,precio,fecha_inicio,fecha_fin,horario_disponible,material_incluido,target_etario,redes_sociales,distrito,tags
1,Clase de Baile,"Cultura,Danza",Aprende pasos de baile con los mejores instructores.,-12.196742,-76.967147,Dirección #1-Clase de Baile,1.4,0,2024-10-14,2024-10-16,"['Lunes 10:00 - 22:00', 'Domingo 10:00 - 22:00', 'Viernes 10:00 - 18:00']",False,18-65,fb.com/clasedebaile,lima este,"Cultura,Danza"
2,Tour en Bicicleta,"Deportes,Tour",Recorre la ciudad en un tour guiado en bicicleta.,-12.116383,-77.013013,Dirección #2-Tour en Bicicleta,2.6,0,2024-06-03,2024-06-05,"['Miércoles 16:00 - 20:00', 'Viernes 10:00 - 18:00']",False,25-50,fb.com/tourenbicicleta,santiago de surco,"Deportes,Turismo"
3,Clase de Baile,"Cultura,Danza",Aprende pasos de baile con los mejores instructores.,-12.133117,-76.971728,Dirección #3-Clase de Baile,1.2,20,2024-08-16,2024-08-20,"['Viernes 10:00 - 18:00', 'Sábado 14:00 - 24:00', 'Domingo 10:00 - 22:00']",False,18-65,fb.com/clasedebaile,santiago de surco,"Cultura,Danza"
4,Clase de Yoga,"Salud,Ejercicio",Relájate y mejora tu flexibilidad con clases de yoga.,-12.133124,-76.957576,Dirección #4-Clase de Yoga,1.8,0,2024-10-03,2024-10-07,"['Miércoles 16:00 - 20:00', 'Jueves 18:00 - 22:00', 'Martes 14:00 - 20:00', 'Domingo 10:00 - 22:00', 'Lunes 10:00 - 22:00']",False,18-65,fb.com/clasedeyoga,santiago de surco,"Salud,Bienestar"
5,Escalada en Roca,"Deportes,Aventura",Vive una aventura emocionante escalando paredes de roca.,-12.184503,-77.01335,Dirección #5-Escalada en Roca,1.1,40,2024-05-20,2024-05-22,"['Lunes 10:00 - 22:00', 'Domingo 10:00 - 22:00', 'Sábado 14:00 - 24:00', 'Jueves 18:00 - 22:00', 'Martes 14:00 - 20:00', 'Miércoles 16:00 - 20:00']",False,25-50,fb.com/escaladaenroca,lima este,"Deportes,Aventura"
6,Tour en Bicicleta,"Deportes,Tour",Recorre la ciudad en un tour guiado en bicicleta.,-12.147292,-76.980489,Dirección #6-Tour en Bicicleta,1.7,20,2024-05-09,2024-05-12,"['Martes 14:00 - 20:00', 'Domingo 10:00 - 22:00', 'Lunes 10:00 - 22:00', 'Viernes 10:00 - 18:00', 'Miércoles 16:00 - 20:00']",True,18-40,fb.com/tourenbicicleta,santiago de surco,"Deportes,Turismo"
7,Clase de Yoga,"Salud,Ejercicio",Relájate y mejora tu flexibilidad con clases de yoga.,-12.124091,-76.997957,Dirección #7-Clase de Yoga,1.9,20,2024-10-24,2024-10-29,"['Miércoles 16:00 - 20:00', 'Jueves 18:00 - 22:00', 'Domingo 10:00 - 22:00']",False,18-40,fb.com/clasedeyoga,santiago de surco,"Salud,Bienestar"
8,Tour en Bicicleta,"Deportes,Tour",Recorre la ciudad en un tour guiado en bicicleta.,-12.179418,-76.988967,Dirección #8-Tour en Bicicleta,1.7,20,2024-06-29,2024-07-04,"['Miércoles 16:00 - 20:00', 'Jueves 18:00 - 22:00', 'Viernes 10:00 - 18:00', 'Martes 14:00 - 20:00']",False,25-50,fb.com/tourenbicicleta,lima este,"Deportes,Turismo"
9,Taller de Cerámica,"Arte,Taller",Crea piezas únicas en un taller de cerámica.,-12.194026,-76.960598,Dirección #9-Taller de Cerámica,2.0,40,2024-06-03,2024-06-07,"['Sábado 14:00 - 24:00', 'Miércoles 16:00 - 20:00', 'Lunes 10:00 - 22:00', 'Viernes 10:00 - 18:00']",True,18-40,fb.com/tallerdecerámica,lima este,"Arte,Manualidades"
10,Cata de Vinos,"Gastronomía,Experiencia",Descubre los mejores vinos con una cata guiada.,-12.127672,-77.009124,Dirección #10-Cata de Vinos,2.2,20,2024-10-26,2024-10-28,"['Miércoles 16:00 - 20:00', 'Lunes 10:00 - 22:00', 'Sábado 14:00 - 24:00']",True,18-65,fb.com/catadevinos,santiago de surco,"Gastronomía,Vinos"
11,Entrenamiento Personalizado,"Salud,Ejercicio",Alcanza tus metas con un entrenador personal.,-12.188653,-76.967282,Dirección #11-Entrenamiento Personalizado,0.7,40,2024-10-10,2024-10-12,"['Domingo 10:00 - 22:00', 'Martes 14:00 - 20:00', 'Jueves 18:00 - 22:00']",False,18-65,fb.com/entrenamientopersonalizado,lima este,"Salud,Ejercicio"
12,Taller de Cerámica,"Arte,Taller",Crea piezas únicas en un taller de cerámica.,-12.114943,-76.996096,Dirección #12-Taller de Cerámica,2.4,0,2024-05-11,2024-05-16,"['Viernes 10:00 - 18:00', 'Lunes 10:00 - 22:00']",False,18-65,fb.com/tallerdecerámica,santiago de surco,"Arte,Manualidades"
13,Cata de Vinos,"Gastronomía,Experiencia",Descubre los mejores vinos con una cata guiada.,-12.198784,-76.955037,Dirección #13-Cata de Vinos,1.9,60,2024-06-24,2024-06-27,"['Sábado 14:00 - 24:00', 'Domingo 10:00 - 22:00', 'Viernes 10:00 - 18:00']",False,18-40,fb.com/catadevinos,lima este,"Gastronomía,Vinos"
14,Clase de Yoga,"Salud,Ejercicio",Relájate y mejora tu flexibilidad con clases de yoga.,-12.136815,-76.995546,Dirección #14-Clase de Yoga,1.7,60,2024-06-30,2024-07-04,"['Sábado 14:00 - 24:00', 'Domingo 10:00 - 22:00', 'Miércoles 16:00 - 20:00']",False,18-65,fb.com/clasedeyoga,santiago de surco,"Salud,Bienestar"
15,Cata de Vinos,"Gastronomía,Experiencia",Descubre los mejores vinos con una cata guiada.,-12.118822,-76.998344,Dirección #15-Cata de Vinos,2.0,20,2024-06-09,2024-06-14,"['Jueves 18:00 - 22:00', 'Miércoles 16:00 - 20:00', 'Viernes 10:00 - 18:00', 'Martes 14:00 - 20:00', 'Domingo 10:00 - 22:00']",False,18-40,fb.com/catadevinos,santiago de surco,"Gastronomía,Vinos"
16,Curso de Fotografía,"Arte,Educación",Aprende técnicas de fotografía en un curso especializado.,-12.144621,-76.985284,Dirección #16-Curso de Fotografía,0.4,40,2024-05-26,2024-05-29,"['Lunes 10:00 - 22:00', 'Sábado 14:00 - 24:00', 'Miércoles 16:00 - 20:00', 'Martes 14:00 - 20:00', 'Domingo 10:00 - 22:00', 'Viernes 10:00 - 18:00']",True,18-65,fb.com/cursodefotografía,santiago de surco,"Arte,Fotografía"
17,Clase de Baile,"Cultura,Danza",Aprende pasos de baile con los mejores instructores.,-12.159903,-76.976591,Dirección #17-Clase de Baile,1.8,20,2024-05-14,2024-05-16,"['Miércoles 16:00 - 20:00', 'Jueves 18:00 - 22:00', 'Domingo 10:00 - 22:00']",True,18-40,fb.com/clasedebaile,santiago de surco,"Cultura,Danza"
18,Clase de Baile,"Cultura,Danza",Aprende pasos de baile con los mejores instructores.,-12.123673,-76.996938,Dirección #18-Clase de Baile,1.5,40,2024-08-30,2024-08-31,"['Miércoles 16:00 - 20:00', 'Martes 14:00 - 20:00', 'Lunes 10:00 - 22:00', 'Jueves 18:00 - 22:00']",True,18-65,fb.com/clasedebaile,santiago de surco,"Cultura,Danza"
19,Taller de Cerámica,"Arte,Taller",Crea piezas únicas en un taller de cerámica.,-12.193528,-76.993131,Dirección #19-Taller de Cerámica,1.4,60,2024-10-10,2024-10-13,"['Sábado 14:00 - 24:00', 'Martes 14:00 - 20:00', 'Miércoles 16:00 - 20:00', 'Lunes 10:00 - 22:00', 'Viernes 10:00 - 18:00', 'Domingo 10:00 - 22:00', 'Jueves 18:00 - 22:00']",False,25-50,fb.com/tallerdecerámica,lima este,"Arte,Manualidades"
20,Tour en Bicicleta,"Deportes,Tour",Recorre la ciudad en un tour guiado en bicicleta.,-12.14637,-76.97018,Dirección #20-Tour en Bicicleta,0.4,0,2024-07-26,2024-07-27,"['Martes 14:00 - 20:00', 'Miércoles 16:00 - 20:00', 'Lunes 10:00 - 22:00', 'Jueves 18:00 - 22:00', 'Sábado 14:00 - 24:00', 'Viernes 10:00 - 18:00']",True,25-50,fb.com/tourenbicicleta,santiago de surco,"Deportes,Turismo"
21,Clase de Yoga,"Salud,Ejercicio",Relájate y mejora tu flexibilidad con clases de yoga.,-12.185963,-77.007023,Dirección #21-Clase de Yoga,1.8,0,2024-09-03,2024-09-06,"['Domingo 10:00 - 22:00', 'Miércoles 16:00 - 20:00', 'Martes 14:00 - 20:00']",True,25-50,fb.com/clasedeyoga,lima este,"Salud,Bienestar"
22,Entrenamiento Personalizado,"Salud,Ejercicio",Alcanza tus metas con un entrenador personal.,-12.169939,-76.976589,Dirección #22-Entrenamiento Personalizado,1.0,20,2024-10-05,2024-10-10,"['Jueves 18:00 - 22:00', 'Viernes 10:00 - 18:00', 'Martes 14:00 - 20:00', 'Domingo 10:00 - 22:00', 'Lunes 10:00 - 22:00']",False,18-40,fb.com/entrenamientopersonalizado,santiago de surco,"Salud,Ejercicio"
23,Clase de Baile,"Cultura,Danza",Aprende pasos de baile con los mejores instructores.,-12.192195,-76.950238,Dirección #23-Clase de Baile,1.8,100,2024-09-27,2024-09-30,"['Sábado 14:00 - 24:00', 'Domingo 10:00 - 22:00']",False,18-65,fb.com/clasedebaile,lima este,"Cultura,Danza"
24,Paseo a Caballo,"Naturaleza,Aventura",Disfruta de la naturaleza con un paseo a caballo.,-12.153022,-77.009098,Dirección #24-Paseo a Caballo,2.2,20,2024-10-21,2024-10-24,"['Miércoles 16:00 - 20:00', 'Sábado 14:00 - 24:00', 'Jueves 18:00 - 22:00', 'Lunes 10:00 - 22:00', 'Viernes 10:00 - 18:00', 'Martes 14:00 - 20:00']",True,18-65,fb.com/paseoacaballo,santiago de surco,"Naturaleza,Aventura"
25,Taller de Cerámica,"Arte,Taller",Crea piezas únicas en un taller de cerámica.,-12.125029,-76.992846,Dirección #25-Taller de Cerámica,0.2,40,2024-08-12,2024-08-15,"['Miércoles 16:00 - 20:00', 'Martes 14:00 - 20:00', 'Domingo 10:00 - 22:00', 'Lunes 10:00 - 22:00', 'Viernes 10:00 - 18:00', 'Jueves 18:00 - 22:00', 'Sábado 14:00 - 24:00']",True,18-40,fb.com/tallerdecerámica,santiago de surco,"Arte,Manualidades"
26,Entrenamiento Personalizado,"Salud,Ejercicio",Alcanza tus metas con un entrenador personal.,-12.137938,-76.974007,Dirección #26-Entrenamiento Personalizado,1.8,60,2024-08-29,2024-09-02,"['Miércoles 16:00 - 20:00', 'Jueves 18:00 - 22:00', 'Sábado 14:00 - 24:00', 'Viernes 10:00 - 18:00', 'Domingo 10:00 - 22:00', 'Lunes 10:00 - 22:00']",True,18-65,fb.com/entrenamientopersonalizado,santiago de surco,"Salud,Ejercicio"
27,Cata de Vinos,"Gastronomía,Experiencia",Descubre los mejores vinos con una cata guiada.,-12.128326,-76.957591,Dirección #27-Cata de Vinos,0.8,20,2024-10-20,2024-10-24,"['Viernes 10:00 - 18:00', 'Lunes 10:00 - 22:00', 'Domingo 10:00 - 22:00']",True,18-40,fb.com/catadevinos,santiago de surco,"Gastronomía,Vinos"
28,Clase de Baile,"Cultura,Danza",Aprende pasos de baile con los mejores instructores.,-12.120821,-77.017258,Dirección #28-Clase de Baile,1.4,60,2024-08-16,2024-08-19,"['Jueves 18:00 - 22:00', 'Viernes 10:00 - 18:00', 'Domingo 10:00 - 22:00', 'Martes 14:00 - 20:00']",False,18-65,fb.com/clasedebaile,santiago de surco,"Cultura,Danza"
29,Clase de Yoga,"Salud,Ejercicio",Relájate y mejora tu flexibilidad con clases de yoga.,-12.132664,-77.003617,Dirección #29-Clase de Yoga,2.7,40,2024-06-19,2024-06-22,"['Martes 14:00 - 20:00', 'Lunes 10:00 - 22:00', 'Viernes 10:00 - 18:00']",True,25-50,fb.com/clasedeyoga,santiago de surco,"Salud,Bienestar"
30,Curso de Fotografía,"Arte,Educación",Aprende técnicas de fotografía en un curso especializado.,-12.189325,-76.978915,Dirección #30-Curso de Fotografía,1.5,0,2024-06-13,2024-06-14,"['Domingo 10:00 - 22:00', 'Martes 14:00 - 20:00', 'Jueves 18:00 - 22:00', 'Sábado 14:00 - 24:00', 'Miércoles 16:00 - 20:00', 'Lunes 10:00 - 22:00', 'Viernes 10:00 - 18:00']",True,18-65,fb.com/cursodefotografía,lima este,"Arte,Fotografía"
31,Entrenamiento Personalizado,"Salud,Ejercicio",Alcanza tus metas con un entrenador personal.,-12.165117,-77.017484,Dirección #31-Entrenamiento Personalizado,2.6,20,2024-06-22,2024-06-23,"['Domingo 10:00 - 22:00', 'Sábado 14:00 - 24:00', 'Miércoles 16:00 - 20:00', 'Lunes 10:00 - 22:00', 'Jueves 18:00 - 22:00', 'Viernes 10:00 - 18:00']",False,25-50,fb.com/entrenamientopersonalizado,santiago de surco,"Salud,Ejercicio"
32,Escalada en Roca,"Deportes,Aventura",Vive una aventura emocionante escalando paredes de roca.,-12.145429,-77.008608,Dirección #32-Escalada en Roca,1.8,40,2024-09-12,2024-09-17,"['Lunes 10:00 - 22:00', 'Viernes 10:00 - 18:00', 'Sábado 14:00 - 24:00', 'Martes 14:00 - 20:00', 'Domingo 10:00 - 22:00', 'Miércoles 16:00 - 20:00', 'Jueves 18:00 - 22:00']",True,18-40,fb.com/escaladaenroca,santiago de surco,"Deportes,Aventura"
33,Clase de Yoga,"Salud,Ejercicio",Relájate y mejora tu flexibilidad con clases de yoga.,-12.11038,-77.010983,Dirección #33-Clase de Yoga,1.0,40,2024-08-07,2024-08-09,"['Lunes 10:00 - 22:00', 'Domingo 10:00 - 22:00', 'Miércoles 16:00 - 20:00', 'Viernes 10:00 - 18:00', 'Sábado 14:00 - 24:00', 'Martes 14:00 - 20:00']",True,18-65,fb.com/clasedeyoga,santiago de surco,"Salud,Bienestar"
34,Paseo a Caballo,"Naturaleza,Aventura",Disfruta de la naturaleza con un paseo a caballo.,-12.15202,-76.998256,Dirección #34-Paseo a Caballo,1.4,20,2024-10-05,2024-10-08,"['Jueves 18:00 - 22:00', 'Sábado 14:00 - 24:00', 'Lunes 10:00 - 22:00', 'Domingo 10:00 - 22:00']",False,18-40,fb.com/paseoacaballo,santiago de surco,"Naturaleza,Aventura"
35,Taller de Cerámica,"Arte,Taller",Crea piezas únicas en un taller de cerámica.,-12.129378,-76.989971,Dirección #35-Taller de Cerámica,1.6,40,2024-07-19,2024-07-22,"['Martes 14:00 - 20:00', 'Jueves 18:00 - 22:00', 'Domingo 10:00 - 22:00', 'Lunes 10:00 - 22:00', 'Miércoles 16:00 - 20:00']",True,18-65,fb.com/tallerdecerámica,santiago de surco,"Arte,Manualidades"
36,Taller de Cerámica,"Arte,Taller",Crea piezas únicas en un taller de cerámica.,-12.111308,-77.006535,Dirección #36-Taller de Cerámica,0.8,0,2024-08-23,2024-08-26,"['Jueves 18:00 - 22:00', 'Viernes 10:00 - 18:00', 'Sábado 14:00 - 24:00', 'Domingo 10:00 - 22:00', 'Miércoles 16:00 - 20:00', 'Martes 14:00 - 20:00', 'Lunes 10:00 - 22:00']",False,18-40,fb.com/tallerdecerámica,santiago de surco,"Arte,Manualidades"
37,Paseo a Caballo,"Naturaleza,Aventura",Disfruta de la naturaleza con un paseo a caballo.,-12.108517,-76.976488,Dirección #37-Paseo a Caballo,0.1,40,2024-05-22,2024-05-24,"['Domingo 10:00 - 22:00', 'Viernes 10:00 - 18:00', 'Miércoles 16:00 - 20:00', 'Sábado 14:00 - 24:00', 'Martes 14:00 - 20:00', 'Lunes 10:00 - 22:00']",False,25-50,fb.com/paseoacaballo,santiago de surco,"Naturaleza,Aventura"
38,Clase de Cocina Peruana,"Gastronomía,Clase",Aprende a cocinar platos típicos en una clase divertida.,-12.123481,-77.008273,Dirección #38-Clase de Cocina Peruana,1.0,40,2024-07-04,2024-07-08,"['Jueves 18:00 - 22:00', 'Domingo 10:00 - 22:00', 'Lunes 10:00 - 22:00', 'Martes 14:00 - 20:00', 'Viernes 10:00 - 18:00', 'Sábado 14:00 - 24:00', 'Miércoles 16:00 - 20:00']",True,18-65,fb.com/clasedecocinaperuana,santiago de surco,"Gastronomía,Cocina"
39,Clase de Baile,"Cultura,Danza",Aprende pasos de baile con los mejores instructores.,-12.149226,-77.017488,Dirección #39-Clase de Baile,2.7,0,2024-07-05,2024-07-07,"['Miércoles 16:00 - 20:00', 'Jueves 18:00 - 22:00', 'Sábado 14:00 - 24:00', 'Domingo 10:00 - 22:00', 'Viernes 10:00 - 18:00', 'Martes 14:00 - 20:00']",True,25-50,fb.com/clasedebaile,santiago de surco,"Cultura,Danza"
40,Curso de Fotografía,"Arte,Educación",Aprende técnicas de fotografía en un curso especializado.,-12.149171,-76.972003,Dirección #40-Curso de Fotografía,2.0,40,2024-07-05,2024-07-06,"['Sábado 14:00 - 24:00', 'Domingo 10:00 - 22:00', 'Miércoles 16:00 - 20:00', 'Jueves 18:00 - 22:00']",True,18-40,fb.com/cursodefotografía,santiago de surco,"Arte,Fotografía"
41,Paseo a Caballo,"Naturaleza,Aventura",Disfruta de la naturaleza con un paseo a caballo.,-12.194931,-76.960439,Dirección #41-Paseo a Caballo,2.0,100,2024-08-22,2024-08-23,"['Miércoles 16:00 - 20:00', 'Lunes 10:00 - 22:00']",True,18-40,fb.com/paseoacaballo,lima este,"Naturaleza,Aventura"
42,Paseo a Caballo,"Naturaleza,Aventura",Disfruta de la naturaleza con un paseo a caballo.,-12.199291,-76.967964,Dirección #42-Paseo a Caballo,0.6,40,2024-09-12,2024-09-15,"['Viernes 10:00 - 18:00', 'Sábado 14:00 - 24:00', 'Lunes 10:00 - 22:00', 'Martes 14:00 - 20:00', 'Jueves 18:00 - 22:00']",False,18-40,fb.com/paseoacaballo,lima este,"Naturaleza,Aventura"
43,Entrenamiento Personalizado,"Salud,Ejercicio",Alcanza tus metas con un entrenador personal.,-12.179907,-76.955698,Dirección #43-Entrenamiento Personalizado,0.9,20,2024-06-16,2024-06-21,"['Viernes 10:00 - 18:00', 'Martes 14:00 - 20:00']",True,18-65,fb.com/entrenamientopersonalizado,lima este,"Salud,Ejercicio"
44,Curso de Fotografía,"Arte,Educación",Aprende técnicas de fotografía en un curso especializado.,-12.159931,-76.972454,Dirección #44-Curso de Fotografía,0.4,60,2024-09-14,2024-09-16,"['Martes 14:00 - 20:00', 'Jueves 18:00 - 22:00', 'Sábado 14:00 - 24:00']",False,18-40,fb.com/cursodefotografía,santiago de surco,"Arte,Fotografía"
45,Escalada en Roca,"Deportes,Aventura",Vive una aventura emocionante escalando paredes de roca.,-12.163828,-77.01473,Dirección #45-Escalada en Roca,0.7,40,2024-05-19,2024-05-21,"['Martes 14:00 - 20:00', 'Viernes 10:00 - 18:00', 'Miércoles 16:00 - 20:00', 'Sábado 14:00 - 24:00', 'Jueves 18:00 - 22:00', 'Domingo 10:00 - 22:00', 'Lunes 10:00 - 22:00']",True,18-40,fb.com/escaladaenroca,santiago de surco,"Deportes,Aventura"
46,Curso de Fotografía,"Arte,Educación",Aprende técnicas de fotografía en un curso especializado.,-12.164606,-76.99359,Dirección #46-Curso de Fotografía,0.9,0,2024-05-03,2024-05-04,"['Lunes 10:00 - 22:00', 'Miércoles 16:00 - 20:00', 'Sábado 14:00 - 24:00', 'Viernes 10:00 - 18:00', 'Martes 14:00 - 20:00', 'Domingo 10:00 - 22:00']",True,18-40,fb.com/cursodefotografía,santiago de surco,"Arte,Fotografía"
47,Taller de Cerámica,"Arte,Taller",Crea piezas únicas en un taller de cerámica.,-12.154301,-76.950715,Dirección #47-Taller de Cerámica,0.9,0,2024-06-20,2024-06-23,"['Jueves 18:00 - 22:00', 'Martes 14:00 - 20:00', 'Domingo 10:00 - 22:00', 'Viernes 10:00 - 18:00']",True,18-40,fb.com/tallerdecerámica,santiago de surco,"Arte,Manualidades"
48,Clase de Yoga,"Salud,Ejercicio",Relájate y mejora tu flexibilidad con clases de yoga.,-12.103471,-76.957137,Dirección #48-Clase de Yoga,1.3,60,2024-08-07,2024-08-08,"['Sábado 14:00 - 24:00', 'Domingo 10:00 - 22:00', 'Martes 14:00 - 20:00', 'Jueves 18:00 - 22:00', 'Lunes 10:00 - 22:00']",True,18-65,fb.com/clasedeyoga,santiago de surco,"Salud,Bienestar"
49,Taller de Cerámica,"Arte,Taller",Crea piezas únicas en un taller de cerámica.,-12.148414,-76.965271,Dirección #49-Taller de Cerámica,2.4,60,2024-10-13,2024-10-17,"['Jueves 18:00 - 22:00', 'Domingo 10:00 - 22:00', 'Miércoles 16:00 - 20:00']",True,18-40,fb.com/tallerdecerámica,santiago de surco,"Arte,Manualidades"
